tri,taille,cas,plage,temps
bulle_basique,17000,aleatoire,grande,0.679557
bulle_basique_v2,17000,aleatoire,grande,0.505882
bulle_optimise,17000,aleatoire,grande,0.506092
cocktail,17000,aleatoire,grande,0.385618
selection,17000,aleatoire,grande,0.188898
insertion,17000,aleatoire,grande,0.097907
comptage,17000,aleatoire,grande,0.002455
fusion,17000,aleatoire,grande,0.002707
rapide,17000,aleatoire,grande,0.001454
bulle_basique,17000,croissant,grande,0.382541
bulle_basique_v2,17000,croissant,grande,0.187577
bulle_optimise,17000,croissant,grande,0.000022
cocktail,17000,croissant,grande,0.000044
selection,17000,croissant,grande,0.186172
insertion,17000,croissant,grande,0.000038
comptage,17000,croissant,grande,0.000125
fusion,17000,croissant,grande,0.001390
rapide,17000,croissant,grande,0.000469
bulle_basique,17000,decroissant,grande,0.504545
bulle_basique_v2,17000,decroissant,grande,0.330258
bulle_optimise,17000,decroissant,grande,0.332301
cocktail,17000,decroissant,grande,0.320471
selection,17000,decroissant,grande,0.208731
insertion,17000,decroissant,grande,0.201413
comptage,17000,decroissant,grande,0.000117
fusion,17000,decroissant,grande,0.002844
rapide,17000,decroissant,grande,0.001331
bulle_basique,17000,constant,grande,0.389226
bulle_basique_v2,17000,constant,grande,0.185040
bulle_optimise,17000,constant,grande,0.000022
cocktail,17000,constant,grande,0.000043
selection,17000,constant,grande,0.184709
insertion,17000,constant,grande,0.000038
comptage,17000,constant,grande,0.001121
fusion,17000,constant,grande,0.001363
rapide,17000,constant,grande,0.303149
bulle_basique,19000,aleatoire,petite,0.854160
bulle_basique_v2,19000,aleatoire,petite,0.632430
bulle_optimise,19000,aleatoire,petite,0.630742
cocktail,19000,aleatoire,petite,0.474546
selection,19000,aleatoire,petite,0.231240
insertion,19000,aleatoire,petite,0.114590
comptage,19000,aleatoire,petite,0.000070
fusion,19000,aleatoire,petite,0.002249
rapide,19000,aleatoire,petite,0.018830
bulle_basique,19000,croissant,petite,0.460733
bulle_basique_v2,19000,croissant,petite,0.230706
bulle_optimise,19000,croissant,petite,0.000025
cocktail,19000,croissant,petite,0.000051
selection,19000,croissant,petite,0.230433
